year_month,anomaly_c,lower_ci,upper_ci
1860-04,-0.30961692,-0.5389516,-0.0802823
1860-05,-0.37111413,-0.5864403,-0.15578794
1860-06,-0.2127543,-0.4549469,0.029438334
1860-07,-0.21101767,-0.43269992,0.01066461
1860-08,-0.13662575,-0.39684892,0.12359742
1860-09,-0.17651302,-0.4059591,0.052933086
1860-10,-0.39112195,-0.60169613,-0.18054783
1860-11,-0.62215847,-0.86401546,-0.38030148
1860-12,-0.7965397,-1.058416,-0.5346635
1861-01,-0.90517104,-1.1902016,-0.6201405
1861-02,-0.68054146,-1.0506036,-0.3104793
1861-03,-0.42158598,-0.827183,-0.015988953
1861-04,-0.39636472,-0.72386134,-0.06886811
1861-05,-0.6966781,-1.0157534,-0.37760273
1861-06,-0.2724492,-0.55828315,0.013384774
1861-07,-0.3489705,-0.6019447,-0.09599635
1861-08,-0.097595915,-0.3516561,0.15646428
1861-09,-0.3336998,-0.5754176,-0.09198201
1861-10,-0.51582086,-0.71397054,-0.31767118
1861-11,-0.48766425,-0.7291308,-0.24619767
1861-12,-0.40781733,-0.71879727,-0.096837424
1862-01,-0.8302512,-1.1385561,-0.52194625
1862-02,-0.79714805,-1.1797544,-0.4145418
1862-03,-0.5375936,-0.9393101,-0.13587719
1862-04,-0.53282684,-0.8345185,-0.23113516
1862-05,-0.3447934,-0.63436407,-0.055222753
1862-06,-0.2752047,-0.52420586,-0.026203478
1862-07,-0.35610244,-0.6009788,-0.11122612
1862-08,-0.500468,-0.7662655,-0.23467055
1862-09,-0.3993082,-0.6264044,-0.17221199
1862-10,-0.50103086,-0.7147106,-0.2873511
1862-11,-0.68491006,-0.9405711,-0.42924896
1862-12,-0.89826745,-1.1983804,-0.59815454
1863-01,-0.08720414,-0.3971735,0.2227652
1863-02,-0.28363347,-0.69889003,0.13162304
1863-03,-0.41439292,-0.77217627,-0.05660958
1863-04,-0.3359353,-0.6480734,-0.023797184
1863-05,-0.39094952,-0.6721547,-0.10974434
1863-06,-0.41835585,-0.68670875,-0.15000293
1863-07,-0.35686275,-0.64034593,-0.0733796
1863-08,-0.33504587,-0.6148643,-0.055227432
1863-09,-0.4046052,-0.6752403,-0.13397016
1863-10,-0.5606118,-0.80079734,-0.32042623
1863-11,-0.50011665,-0.750565,-0.24966833
1863-12,-0.50644475,-0.821586,-0.19130342
1864-01,-0.82488084,-1.171268,-0.47849375
1864-02,-0.60532296,-1.03625,-0.17439587
1864-03,-0.5314121,-0.9199296,-0.14289455
1864-04,-0.5567387,-0.8853148,-0.22816251
1864-05,-0.346019,-0.6473189,-0.04471912
1864-06,-0.11594459,-0.38842356,0.15653439
1864-07,-0.28745678,-0.55989295,-0.015020626
1864-08,-0.34392628,-0.6172651,-0.07058745
1864-09,-0.5260323,-0.78327715,-0.26878747
1864-10,-0.6723407,-0.8993569,-0.44532445
1864-11,-0.4921488,-0.74346167,-0.2408359
1864-12,-0.6274211,-0.9373302,-0.31751198
1865-01,-0.22972421,-0.55336106,0.09391266
1865-02,-0.51286817,-0.9732387,-0.05249757
1865-03,-0.71708083,-1.1474122,-0.28674957
1865-04,-0.545424,-0.8750313,-0.2158167
1865-05,-0.49492788,-0.79017895,-0.1996768
1865-06,-0.25132078,-0.51649505,0.013853513
1865-07,-0.29651147,-0.57376915,-0.019253818
1865-08,-0.24691208,-0.5136703,0.01984615
1865-09,-0.23256682,-0.50099146,0.035857815
1865-10,-0.3286998,-0.5841687,-0.073230885
1865-11,-0.3379596,-0.598227,-0.077692166
1865-12,-0.51290435,-0.8368567,-0.18895203
1866-01,-0.23041412,-0.56443113,0.10360286
1866-02,-0.47209233,-0.83833873,-0.10584597
1866-03,-0.7483365,-1.1368948,-0.35977817
1866-04,-0.5491825,-0.8757269,-0.22263807
1866-05,-0.5992568,-0.9137005,-0.2848131
1866-06,-0.12973092,-0.40263334,0.14317149
1866-07,-0.053188607,-0.31357282,0.2071956
1866-08,-0.2913557,-0.5556775,-0.02703389
1866-09,-0.4619109,-0.7235103,-0.20031153
1866-10,-0.45978358,-0.6842934,-0.23527373
1866-11,-0.3633889,-0.60191363,-0.12486417
1866-12,-0.44330192,-0.73992544,-0.14667843
1867-01,-0.5012026,-0.8375815,-0.16482364
1867-02,-0.40764287,-0.82391244,0.008626711
1867-03,-0.71154207,-1.0870295,-0.33605477
1867-04,-0.4893024,-0.80904496,-0.16955987
1867-05,-0.61576754,-0.9304881,-0.30104694
1867-06,-0.3497442,-0.63090473,-0.06858368
1867-07,-0.25862965,-0.5247311,0.0074717966
1867-08,-0.32534266,-0.60469294,-0.04599238
1867-09,-0.19382298,-0.45330045,0.06565448
1867-10,-0.15673622,-0.39245188,0.07897942
1867-11,-0.290751,-0.53643924,-0.045062773
1867-12,-0.4924907,-0.77945983,-0.20552158
1868-01,-0.7065511,-1.0674937,-0.3456084
1868-02,-0.7107065,-1.1283242,-0.29308888
1868-03,-0.33152503,-0.7173328,0.054282755
1868-04,-0.3835847,-0.6873388,-0.07983055
1868-05,-0.28221005,-0.5905672,0.026147053
1868-06,-0.29758695,-0.5509307,-0.04424324
1868-07,-0.046538997,-0.29191235,0.19883434
1868-08,-0.19503358,-0.46016157,0.07009441
1868-09,-0.37496766,-0.5967106,-0.15322472
1868-10,-0.24309713,-0.44481906,-0.041375197
1868-11,-0.45063135,-0.69945216,-0.20181051
1868-12,-0.33501616,-0.59826463,-0.07176771
1869-01,-0.30413687,-0.6058555,-0.0024182312
1869-02,0.13735774,-0.19177745,0.46649292
1869-03,-0.65085006,-0.98424524,-0.31745487
1869-04,-0.41162053,-0.7095573,-0.11368371
1869-05,-0.3107559,-0.5717945,-0.049717303
1869-06,-0.39642054,-0.65516514,-0.1376759
1869-07,-0.4316918,-0.675439,-0.18794459
1869-08,-0.17842542,-0.43521675,0.078365915
1869-09,-0.16914342,-0.37787694,0.039590076
1869-10,-0.29088375,-0.4596924,-0.12207508
1869-11,-0.29109508,-0.4890318,-0.09315839
1869-12,-0.5245999,-0.7715138,-0.27768603
1870-01,-0.21442753,-0.44346264,0.0146075655
1870-02,-0.4570527,-0.691517,-0.2225884
1870-03,-0.49531865,-0.76176095,-0.22887632
1870-04,-0.35708296,-0.5983382,-0.11582778
1870-05,-0.30391365,-0.55139834,-0.05642898
1870-06,-0.20680325,-0.437984,0.0243775
1870-07,-0.0832475,-0.29691464,0.13041964
1870-08,-0.25554147,-0.51167536,0.0005923894
1870-09,-0.20184942,-0.41993046,0.016231617
1870-10,-0.4277582,-0.64754665,-0.20796973
1870-11,-0.2553485,-0.4800314,-0.030665588
1870-12,-0.6750309,-0.9536367,-0.3964251
1871-01,-0.5914527,-0.8647853,-0.31812018
1871-02,-0.688392,-0.98160034,-0.3951836
1871-03,-0.1713521,-0.48025313,0.13754892
1871-04,-0.2224464,-0.45469368,0.009800896
1871-05,-0.3483847,-0.5971651,-0.099604286
1871-06,-0.26983124,-0.50886416,-0.030798282
1871-07,-0.07270558,-0.29335323,0.14794205
1871-08,-0.3237074,-0.54859877,-0.098816045
1871-09,-0.35705873,-0.56857884,-0.14553864
1871-10,-0.3733814,-0.56301385,-0.18374893
1871-11,-0.5423128,-0.77914274,-0.3054828
1871-12,-0.5200536,-0.7972264,-0.24288082
1872-01,-0.59386724,-0.84798944,-0.33974507
1872-02,-0.62738276,-0.90621114,-0.34855428
1872-03,-0.51853395,-0.8112074,-0.22586043
1872-04,-0.36621708,-0.621345,-0.111089155
1872-05,-0.12129082,-0.35253322,0.109951586
1872-06,-0.26687804,-0.4884874,-0.045268685
1872-07,-0.10946713,-0.3214237,0.10248945
1872-08,0.032685995,-0.20328802,0.26866
1872-09,-0.1552767,-0.35343167,0.042878255
1872-10,-0.1743955,-0.34915125,0.0003602594
1872-11,-0.29189095,-0.48275036,-0.10103155
1872-12,-0.52090067,-0.7576525,-0.28414875
1873-01,-0.23680581,-0.46030554,-0.013306068
1873-02,-0.2723676,-0.5616161,0.016880939
1873-03,-0.39014128,-0.6296835,-0.15059903
1873-04,-0.4620575,-0.67937005,-0.24474493
1873-05,-0.3187277,-0.53341234,-0.10404305
1873-06,-0.2966507,-0.51221657,-0.08108485
1873-07,-0.15776405,-0.3739471,0.058418993
